Claim_ID,Policy_ID,Date_of_Loss,Report_Date,Total_Paid_Amount,Coverage_Type,Bodily_Injury_Limit_Per_Person,Property_Damage_Limit,Collision_Deductible,Policy_Tenure_Months,Driver_Age,Insurance_Score_Band,Vehicle_Age_Years,Vehicle_ACV,Vehicle_Segment,Urbanicity,Repair_Cost_Index,Medical_Cost_Index,Weather_Cat_Risk_Index,Report_Lag_Days,Collision_Type,Injury_Indicator,At_Fault_Indicator,Multi_Vehicle_Flag,Weather_At_LOSS,Prior_Claims_Count_36M,Moving_Violations_36M,Attorney_Rep_At_FNOL
CLM1000010,POL2000010,2024-05-11,2024-05-21,0.0,Collision,100000,25000,2000,24,28,B_Good,8,10843.0,Economy,Suburban,1.0,1.029,0.201,10,RearEnd,False,Insured,False,Rain,0,1,False
CLM1000011,POL2000011,2025-07-14,2025-07-14,3681.21,UM_UIM,50000,25000,2000,44,27,B_Good,9,20082.0,Sedan,Suburban,1.142,0.936,0.338,0,Angle,False,ThirdParty,False,Fog,0,0,False
CLM1000012,POL2000012,2025-08-12,2025-08-12,8795.61,Collision,25000,25000,1500,174,46,E_Poor,9,15563.0,Sedan,Urban,1.228,1.095,0.376,0,Angle,True,ThirdParty,False,Clear,0,0,False
CLM1000013,POL2000013,2023-10-19,2023-10-24,3660.0,Liability,50000,100000,500,142,52,D_BelowAvg,9,23911.0,Sports,Suburban,0.963,0.973,0.268,5,SingleVehicle,False,ThirdParty,False,Fog,3,0,False
CLM1000014,POL2000014,2024-10-14,2024-10-20,16476.45,Liability,500000,25000,500,172,29,D_BelowAvg,8,21927.0,Pickup,Urban,1.158,1.349,0.153,6,Angle,True,Shared,True,Snow,0,0,False
CLM1000015,POL2000015,2025-06-06,2025-06-13,4617.62,Liability,25000,25000,1000,201,33,E_Poor,14,10873.0,Luxury,Urban,1.083,1.14,0.186,7,Sideswipe,False,Insured,False,Clear,0,0,False
CLM1000016,POL2000016,2024-01-19,2024-02-09,0.0,Collision,100000,25000,2500,76,30,B_Good,12,11320.0,SUV,Suburban,0.938,0.948,0.251,21,Other,False,Insured,True,Wind,1,1,False
CLM1000017,POL2000017,2025-05-19,2025-05-20,0.0,Comprehensive,25000,25000,1000,148,33,B_Good,8,12341.0,Sedan,Urban,0.915,1.14,0.599,1,Angle,False,Insured,True,Clear,0,1,False
CLM1000018,POL2000018,2024-01-10,2024-01-10,2146.29,Comprehensive,25000,10000,0,19,26,C_Average,10,17419.0,Sedan,Suburban,1.011,0.97,0.179,0,SingleVehicle,False,Insured,True,Clear,1,0,False
CLM1000019,POL2000019,2024-09-21,2024-09-22,5494.05,Liability,100000,100000,500,19,84,D_BelowAvg,5,20372.0,Sedan,Urban,1.235,1.315,0.392,1,Angle,False,Insured,True,Clear,0,0,False
CLM1000020,POL2000020,2025-06-03,2025-06-04,1280.6,PIP,500000,50000,0,184,40,E_Poor,2,30600.0,Pickup,Rural,0.919,0.98,0.575,1,RearEnd,False,Shared,True,Clear,2,0,False
CLM1000021,POL2000021,2024-05-24,2024-05-24,386.92,Comprehensive,50000,25000,2000,8,66,B_Good,3,13516.0,Economy,Rural,0.828,0.805,0.157,0,RearEnd,False,ThirdParty,True,Clear,0,1,False
CLM1000022,POL2000022,2024-06-21,2024-06-26,2154.54,Liability,25000,25000,1000,188,81,C_Average,10,18393.0,SUV,Suburban,0.94,0.916,0.244,5,RearEnd,False,Shared,True,Clear,0,0,False
CLM1000023,POL2000023,2024-05-06,2024-05-09,612.42,Collision,50000,25000,1500,180,30,A_VeryGood,7,14289.0,Sedan,Suburban,0.985,1.005,0.224,3,SingleVehicle,False,ThirdParty,False,Rain,0,0,False
CLM1000024,POL2000024,2025-03-24,2025-03-28,7202.03,Liability,25000,10000,1000,60,36,B_Good,3,15851.0,Economy,Suburban,0.958,0.995,0.134,4,Angle,True,ThirdParty,True,Clear,1,1,True
CLM1000025,POL2000025,2024-04-19,2024-05-03,10447.89,PIP,25000,50000,1500,134,68,D_BelowAvg,8,20869.0,SUV,Suburban,1.106,0.855,0.103,14,Angle,True,ThirdParty,True,Rain,1,0,False
CLM1000026,POL2000026,2025-10-08,2025-10-11,2986.83,Liability,250000,100000,0,111,48,C_Average,5,13403.0,Sedan,Suburban,1.088,1.013,0.185,3,RearEnd,False,ThirdParty,True,Clear,1,0,False
CLM1000027,POL2000027,2024-09-04,2024-09-18,3654.97,Liability,100000,50000,500,216,16,C_Average,11,6447.0,Economy,Urban,1.136,1.193,0.611,14,Sideswipe,False,Insured,True,Snow,0,1,False
CLM1000028,POL2000028,2024-09-29,2024-10-09,5162.64,Collision,100000,25000,2000,35,61,A_VeryGood,0,36573.0,SUV,Urban,1.17,1.369,0.561,10,Sideswipe,True,Shared,True,Clear,0,0,True
CLM1000029,POL2000029,2024-10-18,2024-10-21,9107.12,UM_UIM,50000,10000,1500,70,78,B_Good,0,28537.0,SUV,Rural,0.877,0.984,0.238,3,Angle,False,Insured,False,Wind,1,0,False
CLM1000030,POL2000030,2024-12-14,2024-12-18,3232.36,UM_UIM,25000,25000,2000,225,54,D_BelowAvg,1,18850.0,Sedan,Suburban,1.123,0.963,0.276,4,RearEnd,False,Insured,True,Clear,0,0,False
CLM1000031,POL2000031,2024-11-23,2024-11-25,3431.14,Collision,50000,10000,2000,107,26,A_VeryGood,6,18758.0,Pickup,Urban,1.17,1.344,0.466,2,Angle,False,Unknown,False,Clear,1,0,False
CLM1000032,POL2000032,2024-10-21,2024-10-22,3957.53,PIP,25000,10000,500,19,77,D_BelowAvg,4,10754.0,Economy,Suburban,1.137,1.011,0.146,1,Sideswipe,False,Insured,True,Rain,0,2,False
CLM1000033,POL2000033,2025-10-11,2025-10-17,2402.61,Liability,25000,25000,500,50,33,C_Average,3,32529.0,Sports,Urban,1.223,1.251,0.298,6,Parked,False,Insured,False,Clear,2,0,False
CLM1000034,POL2000034,2025-05-27,2025-05-31,1999.9,Liability,25000,50000,1000,196,32,A_VeryGood,6,19829.0,SUV,Urban,1.215,1.269,0.217,4,RearEnd,False,Insured,True,Clear,1,0,False
CLM1000035,POL2000035,2025-05-16,2025-05-17,3830.41,Liability,25000,50000,1000,146,21,E_Poor,13,10201.0,Sedan,Urban,1.154,1.289,0.268,1,Other,False,Insured,False,Clear,0,0,False
CLM1000036,POL2000036,2025-03-10,2025-03-14,5682.2,Liability,500000,50000,500,196,35,C_Average,13,14065.0,Pickup,Urban,1.233,1.166,0.198,4,Angle,False,Insured,False,Rain,1,1,True
CLM1000037,POL2000037,2025-01-12,2025-01-15,4218.33,Liability,100000,50000,500,129,81,B_Good,5,15665.0,Economy,Suburban,0.994,0.833,0.228,3,Angle,False,ThirdParty,True,Clear,0,0,False
CLM1000038,POL2000038,2024-06-20,2024-06-20,8926.19,Collision,50000,50000,1500,1,25,A_VeryGood,0,31612.0,SUV,Urban,1.238,1.185,0.11,0,RearEnd,True,ThirdParty,True,Clear,1,1,False
CLM1000039,POL2000039,2025-10-06,2025-10-12,9244.03,Liability,25000,25000,1000,62,44,D_BelowAvg,3,17796.0,Van,Urban,1.289,1.155,0.151,6,Angle,False,Insured,True,Clear,2,0,False
CLM1000040,POL2000040,2024-09-20,2024-09-22,1859.5,Collision,25000,25000,1000,40,82,A_VeryGood,8,24227.0,Luxury,Suburban,1.024,1.003,0.303,2,SingleVehicle,False,ThirdParty,False,Rain,0,1,False
CLM1000041,POL2000041,2024-03-21,2024-04-11,0.0,Comprehensive,100000,25000,1500,209,81,B_Good,16,9603.0,Van,Rural,0.879,0.899,0.475,21,Angle,True,Insured,True,Clear,0,0,False
CLM1000042,POL2000042,2025-06-23,2025-07-14,7606.39,PIP,100000,100000,500,60,17,A_VeryGood,0,28373.0,Pickup,Suburban,1.08,0.968,0.004,21,Angle,False,ThirdParty,False,Clear,0,0,False
CLM1000043,POL2000043,2024-02-09,2024-02-09,961.78,Collision,25000,25000,1000,180,53,D_BelowAvg,3,17286.0,Sedan,Urban,0.949,1.122,0.11,0,RearEnd,False,Insured,True,Rain,0,1,False
CLM1000044,POL2000044,2025-07-02,2025-07-03,5955.42,PIP,50000,10000,500,83,54,D_BelowAvg,9,13898.0,SUV,Suburban,1.032,1.071,0.135,1,RearEnd,False,Shared,True,Clear,1,0,False
CLM1000045,POL2000045,2025-01-05,2025-01-10,7990.92,Collision,250000,25000,500,199,58,D_BelowAvg,3,33568.0,SUV,Suburban,0.964,1.111,0.076,5,Angle,False,ThirdParty,True,Clear,1,1,False
CLM1000046,POL2000046,2024-01-07,2024-01-07,293.64,Comprehensive,100000,100000,500,185,80,B_Good,10,7340.0,Van,Suburban,0.985,0.758,0.151,0,SingleVehicle,False,Insured,False,Ice,1,0,False
CLM1000047,POL2000047,2023-11-17,2023-11-27,728.71,Comprehensive,50000,25000,1500,84,46,C_Average,10,19378.0,SUV,Rural,0.943,0.956,0.094,10,Sideswipe,False,Shared,True,Clear,1,2,False
CLM1000048,POL2000048,2024-09-04,2024-09-09,0.0,Comprehensive,25000,25000,1500,137,42,B_Good,4,20071.0,Sedan,Urban,0.97,1.249,0.164,5,RearEnd,False,Insured,True,Clear,0,1,False
CLM1000049,POL2000049,2023-11-11,2023-12-11,3006.25,Liability,250000,10000,500,130,63,A_VeryGood,10,13588.0,SUV,Suburban,1.16,0.874,0.34,30,RearEnd,False,ThirdParty,False,Clear,0,1,False
CLM1000050,POL2000050,2024-01-27,2024-01-28,0.0,Collision,100000,10000,1500,209,40,C_Average,12,10360.0,Economy,Urban,1.192,1.151,0.259,1,Sideswipe,False,Insured,True,Clear,0,0,False
CLM1000051,POL2000051,2024-10-25,2024-10-30,4422.31,Liability,250000,50000,500,228,40,B_Good,8,11587.0,Sedan,Urban,1.225,1.125,0.493,5,SingleVehicle,False,Insured,False,Rain,0,0,False
CLM1000052,POL2000052,2025-09-23,2025-09-27,4750.62,Liability,25000,100000,1500,48,54,B_Good,9,17594.0,SUV,Suburban,1.039,1.131,0.183,4,Angle,False,Insured,True,Wind,0,0,False
CLM1000053,POL2000053,2024-09-20,2024-09-25,1781.6,PIP,50000,25000,1000,128,31,A_VeryGood,11,24085.0,Sports,Urban,1.241,1.086,0.293,5,Parked,False,Unknown,True,Ice,0,1,False
CLM1000054,POL2000054,2025-05-28,2025-06-18,677.75,Collision,100000,50000,1500,53,20,A_VeryGood,3,16540.0,Economy,Rural,0.856,0.908,0.312,21,SingleVehicle,False,ThirdParty,False,Clear,2,1,False
CLM1000055,POL2000055,2025-08-15,2025-08-16,1160.91,Collision,25000,10000,2000,102,50,C_Average,5,22726.0,SUV,Suburban,0.967,0.943,0.516,1,RearEnd,False,Insured,True,Clear,0,1,False
CLM1000056,POL2000056,2025-06-08,2025-06-08,3983.79,UM_UIM,50000,50000,0,8,38,B_Good,4,10415.0,Economy,Suburban,0.951,1.091,0.568,0,Angle,False,Insured,True,Wind,0,1,False
CLM1000057,POL2000057,2025-01-17,2025-01-27,4715.55,Liability,25000,250000,500,144,34,A_VeryGood,0,40651.0,Pickup,Urban,1.177,1.338,0.076,10,Angle,False,Insured,True,Clear,3,1,False
CLM1000058,POL2000058,2024-09-02,2024-09-02,10211.38,Liability,100000,50000,1500,113,70,A_VeryGood,13,12972.0,Pickup,Urban,1.214,1.234,0.652,0,RearEnd,False,Insured,True,Rain,0,0,False
CLM1000059,POL2000059,2024-10-25,2024-10-28,3809.16,Liability,25000,50000,500,48,29,D_BelowAvg,9,28877.0,SUV,Urban,1.089,1.455,0.174,3,RearEnd,False,Insured,True,Rain,0,1,False
CLM1000060,POL2000060,2024-04-27,2024-05-18,325.14,Comprehensive,100000,50000,500,112,76,B_Good,8,9959.0,Van,Rural,0.872,0.894,0.259,21,Angle,False,ThirdParty,False,Clear,2,0,False
CLM1000061,POL2000061,2024-10-12,2024-10-26,1328.7,Collision,25000,50000,1000,40,65,E_Poor,18,5471.0,Sedan,Urban,1.3,1.215,0.327,14,Angle,True,ThirdParty,True,Clear,0,0,False
CLM1000062,POL2000062,2024-07-18,2024-07-23,6409.24,Liability,250000,100000,0,78,23,C_Average,14,7856.0,SUV,Suburban,1.021,1.037,0.15,5,Angle,False,Insured,True,Clear,0,1,False
CLM1000063,POL2000063,2024-04-13,2024-04-13,16939.08,Liability,500000,50000,0,97,61,D_BelowAvg,15,10112.0,SUV,Suburban,1.152,1.021,0.437,0,Angle,False,Insured,True,Clear,0,0,False
CLM1000064,POL2000064,2025-10-10,2025-11-09,2223.57,Collision,100000,10000,500,27,73,A_VeryGood,5,20112.0,Van,Rural,0.883,0.937,0.521,30,RearEnd,False,Shared,True,Clear,2,0,False
CLM1000065,POL2000065,2023-10-24,2023-10-26,6177.77,Collision,100000,50000,500,164,19,E_Poor,6,28435.0,Sports,Urban,1.219,1.159,0.535,2,RearEnd,False,ThirdParty,True,Rain,0,1,False
CLM1000066,POL2000066,2023-12-25,2023-12-26,4873.74,Liability,50000,250000,500,199,26,B_Good,4,19723.0,SUV,Urban,1.027,1.164,0.081,1,Angle,False,Insured,False,Clear,0,1,False
CLM1000067,POL2000067,2024-03-04,2024-03-04,2167.31,Collision,25000,50000,500,95,44,D_BelowAvg,9,11356.0,Sedan,Suburban,1.028,1.064,0.321,0,SingleVehicle,False,Insured,False,Clear,1,1,False
CLM1000068,POL2000068,2025-09-22,2025-09-22,576.95,Comprehensive,50000,25000,1000,229,58,A_VeryGood,15,7209.0,Sedan,Urban,1.052,1.205,0.169,0,Other,False,ThirdParty,True,Clear,1,0,False
CLM1000069,POL2000069,2025-03-04,2025-03-04,7204.4,Liability,25000,10000,2000,207,63,B_Good,7,20480.0,Pickup,Rural,0.875,1.024,0.3,0,Angle,False,Insured,False,Rain,0,0,False
CLM1000070,POL2000070,2025-07-20,2025-07-23,3379.18,Collision,50000,50000,500,95,74,B_Good,8,22122.0,Pickup,Urban,1.261,1.133,0.151,3,Angle,False,ThirdParty,True,Clear,1,0,False
CLM1000071,POL2000071,2024-03-10,2024-03-11,3994.89,UM_UIM,100000,25000,1000,23,74,A_VeryGood,4,38906.0,Pickup,Suburban,0.94,0.991,0.309,1,RearEnd,False,Insured,True,Clear,0,0,False
CLM1000072,POL2000072,2025-03-25,2025-03-26,2314.41,Liability,50000,10000,1500,72,47,B_Good,13,9818.0,Sedan,Suburban,0.879,0.902,0.307,1,RearEnd,False,Insured,False,Clear,1,0,False
CLM1000073,POL2000073,2024-07-11,2024-07-21,4364.16,UM_UIM,100000,50000,1000,152,57,D_BelowAvg,11,12604.0,SUV,Rural,0.761,0.842,0.373,10,Angle,False,Shared,True,Clear,1,1,False
CLM1000074,POL2000074,2024-10-06,2024-10-06,3110.32,Liability,25000,25000,0,199,68,C_Average,12,7614.0,Sedan,Suburban,1.059,1.057,0.146,0,SingleVehicle,False,Shared,False,Clear,0,2,True
CLM1000075,POL2000075,2023-10-18,2023-10-20,3930.76,Collision,50000,10000,1000,162,26,A_VeryGood,7,39051.0,Luxury,Suburban,0.897,1.085,0.556,2,RearEnd,False,ThirdParty,True,Clear,0,1,False
CLM1000076,POL2000076,2025-01-08,2025-01-18,8322.54,PIP,100000,50000,500,218,58,B_Good,0,30162.0,SUV,Rural,0.842,0.878,0.109,10,Angle,True,Unknown,True,Clear,1,2,False
CLM1000077,POL2000077,2025-06-12,2025-06-22,2489.09,Liability,50000,50000,1000,170,37,B_Good,9,19323.0,SUV,Suburban,0.932,0.963,0.488,10,Sideswipe,False,Insured,True,Clear,0,0,False
CLM1000078,POL2000078,2025-02-11,2025-02-16,2273.45,PIP,100000,100000,500,101,64,E_Poor,5,11217.0,SUV,Suburban,0.986,0.985,0.144,5,Angle,False,Insured,True,Clear,1,1,False
CLM1000079,POL2000079,2024-02-05,2024-02-08,4517.28,Liability,50000,25000,500,191,78,A_VeryGood,15,15790.0,Pickup,Suburban,1.075,0.996,0.398,3,SingleVehicle,False,Insured,False,Clear,0,0,False
CLM1000080,POL2000080,2024-11-08,2024-11-08,0.0,Collision,100000,100000,1500,47,32,C_Average,16,7912.0,Sedan,Rural,0.9,0.912,0.401,0,Sideswipe,False,Insured,True,Clear,1,0,False
CLM1000081,POL2000081,2024-04-28,2024-04-30,550.72,Comprehensive,100000,25000,500,71,52,C_Average,9,10232.0,Sedan,Suburban,0.953,1.131,0.181,2,RearEnd,False,Insured,False,Snow,1,0,False
CLM1000082,POL2000082,2025-09-19,2025-09-25,7812.23,PIP,100000,25000,1000,146,33,C_Average,3,21624.0,Pickup,Urban,1.5,1.309,0.11,6,SingleVehicle,True,ThirdParty,False,Clear,0,0,False
CLM1000083,POL2000083,2025-07-19,2025-07-26,5953.62,Liability,100000,100000,500,127,55,B_Good,12,6104.0,Economy,Urban,1.183,1.191,0.083,7,Angle,False,Insured,True,Clear,0,0,False
CLM1000084,POL2000084,2024-02-28,2024-03-03,2711.71,Liability,100000,50000,1000,44,17,B_Good,19,12908.0,Pickup,Rural,0.865,0.907,0.236,4,RearEnd,False,ThirdParty,True,Clear,0,2,False
CLM1000085,POL2000085,2024-10-22,2024-11-12,727.62,Collision,50000,50000,1500,221,32,C_Average,6,25062.0,Sports,Rural,0.927,1.043,0.279,21,Sideswipe,False,Insured,False,Clear,0,1,False
CLM1000086,POL2000086,2025-09-01,2025-09-04,3800.05,Liability,25000,25000,1000,36,24,B_Good,4,23633.0,Sedan,Urban,1.161,1.073,0.181,3,RearEnd,False,Shared,True,Fog,1,1,False
CLM1000087,POL2000087,2025-06-25,2025-07-09,3379.25,Liability,100000,25000,2000,91,66,B_Good,12,17101.0,SUV,Urban,1.135,1.158,0.591,14,Sideswipe,False,Insured,True,Clear,1,1,False
CLM1000088,POL2000088,2025-03-15,2025-04-05,4062.68,Collision,250000,10000,1500,204,78,A_VeryGood,9,20210.0,Pickup,Urban,1.308,1.436,0.135,21,Angle,False,Insured,False,Rain,1,0,False
CLM1000089,POL2000089,2025-01-24,2025-01-24,5712.13,PIP,50000,10000,500,228,39,E_Poor,5,15875.0,Pickup,Urban,1.293,1.25,0.278,0,RearEnd,False,ThirdParty,False,Fog,0,1,False
CLM1000090,POL2000090,2023-11-15,2023-11-15,7240.96,PIP,250000,25000,1000,218,63,B_Good,13,6905.0,Economy,Suburban,1.039,0.948,0.41,0,SingleVehicle,False,Insured,False,Rain,2,1,False
CLM1000091,POL2000091,2025-04-09,2025-05-09,10458.54,PIP,50000,50000,1000,207,20,B_Good,0,26005.0,Sedan,Suburban,1.017,0.98,0.633,30,Angle,True,Insured,True,Rain,1,0,False
CLM1000092,POL2000092,2024-09-25,2024-09-26,339.29,Collision,100000,10000,500,34,29,C_Average,13,7599.0,Sedan,Suburban,0.972,0.972,0.401,1,SingleVehicle,False,Unknown,False,Clear,0,0,False
CLM1000093,POL2000093,2023-12-21,2023-12-23,2469.15,Collision,50000,50000,1000,232,58,C_Average,15,22837.0,Pickup,Rural,0.886,0.945,0.323,2,RearEnd,False,Insured,True,Rain,0,1,False
CLM1000094,POL2000094,2024-04-11,2024-04-13,4628.82,Liability,250000,10000,1000,67,35,C_Average,3,21736.0,Economy,Suburban,1.059,0.914,0.147,2,Angle,False,Insured,True,Fog,0,0,False
CLM1000095,POL2000095,2024-11-14,2024-11-28,327.62,Comprehensive,50000,25000,1000,227,49,A_VeryGood,14,5245.0,Sedan,Urban,1.178,1.08,0.215,14,RearEnd,False,ThirdParty,True,Clear,0,0,False
CLM1000096,POL2000096,2025-03-29,2025-03-29,3090.6,Collision,25000,25000,1500,132,59,C_Average,13,16102.0,Sedan,Urban,1.1,1.152,0.475,0,Angle,True,Insured,True,Snow,0,1,False
CLM1000097,POL2000097,2024-10-20,2024-10-22,2230.39,PIP,25000,25000,1000,228,25,C_Average,7,10274.0,Economy,Suburban,0.761,1.288,0.052,2,SingleVehicle,False,ThirdParty,True,Clear,1,1,False
CLM1000098,POL2000098,2025-01-05,2025-01-07,1499.78,Collision,25000,25000,1000,46,20,A_VeryGood,0,35045.0,Pickup,Suburban,0.941,0.972,0.564,2,Other,True,Insured,True,Clear,1,0,False
CLM1000099,POL2000099,2025-07-13,2025-07-13,142.48,Collision,500000,25000,1000,30,37,B_Good,12,5224.0,Economy,Urban,1.114,1.369,0.23,0,Angle,True,Insured,False,Clear,0,0,False
CLM1000100,POL2000100,2025-02-27,2025-03-01,3126.5,Comprehensive,250000,10000,500,114,41,B_Good,0,33775.0,Sports,Urban,1.013,1.276,0.177,2,Sideswipe,False,Shared,False,Clear,0,0,False
CLM1000101,POL2000101,2024-07-05,2024-07-19,2498.51,Liability,100000,10000,500,151,55,A_VeryGood,11,8701.0,Economy,Rural,0.918,0.953,0.38,14,Angle,False,ThirdParty,False,Wind,1,1,False
CLM1000102,POL2000102,2025-01-27,2025-01-27,3860.09,PIP,100000,10000,500,208,40,B_Good,6,16770.0,SUV,Suburban,0.922,0.957,0.283,0,Angle,False,ThirdParty,True,Clear,1,0,False
CLM1000103,POL2000103,2024-12-25,2024-12-26,0.0,Collision,50000,25000,2000,168,70,B_Good,11,8964.0,Van,Rural,0.895,0.99,0.448,1,SingleVehicle,False,ThirdParty,False,Clear,0,0,False
CLM1000104,POL2000104,2024-01-03,2024-01-07,3954.32,Liability,100000,25000,0,152,82,D_BelowAvg,5,34444.0,Sports,Suburban,0.956,1.141,0.218,4,RearEnd,False,Insured,False,Rain,0,0,False
CLM1000105,POL2000105,2023-11-28,2023-12-01,1276.13,PIP,500000,50000,1000,128,16,A_VeryGood,8,20730.0,SUV,Urban,1.212,1.292,0.348,3,Parked,False,Insured,False,Wind,0,1,False
CLM1000106,POL2000106,2025-02-08,2025-02-15,8233.33,Liability,100000,25000,1000,116,32,A_VeryGood,11,25836.0,Luxury,Urban,1.336,1.182,0.036,7,Angle,False,ThirdParty,False,Ice,0,0,False
CLM1000107,POL2000107,2024-07-24,2024-07-25,2236.65,UM_UIM,250000,10000,500,80,54,C_Average,12,5070.0,Economy,Rural,0.934,0.931,0.144,1,RearEnd,False,Insured,True,Clear,0,0,False
CLM1000108,POL2000108,2024-12-25,2024-12-25,7890.51,Liability,50000,10000,2500,142,26,A_VeryGood,5,19299.0,Economy,Urban,1.229,1.336,0.672,0,RearEnd,True,Insured,True,Clear,0,0,False
CLM1000109,POL2000109,2024-06-07,2024-06-08,971.85,Collision,25000,100000,2500,192,70,B_Good,6,25732.0,Luxury,Rural,0.924,0.905,0.31,1,SingleVehicle,False,Insured,False,Clear,1,0,False
CLM1000110,POL2000110,2024-03-28,2024-04-07,4098.33,Liability,100000,250000,0,171,61,B_Good,6,12479.0,Economy,Urban,1.264,1.352,0.398,10,RearEnd,False,Insured,True,Wind,1,0,False
CLM1000111,POL2000111,2024-02-02,2024-02-04,3698.62,Liability,50000,100000,1000,216,28,E_Poor,6,30378.0,Pickup,Suburban,0.837,0.951,0.05,2,RearEnd,False,ThirdParty,True,Clear,0,0,False
CLM1000112,POL2000112,2024-07-20,2024-07-22,505.19,Collision,250000,100000,2000,35,67,C_Average,18,7309.0,SUV,Urban,1.145,0.919,0.111,2,Sideswipe,False,ThirdParty,False,Clear,0,0,False
CLM1000113,POL2000113,2025-06-02,2025-06-09,6227.13,Liability,100000,10000,500,64,65,E_Poor,10,9282.0,Sedan,Urban,1.156,1.232,0.738,7,RearEnd,False,Insured,True,Clear,0,1,False
CLM1000114,POL2000114,2024-08-03,2024-08-06,0.0,Comprehensive,100000,25000,1000,6,55,C_Average,9,11408.0,Sedan,Urban,1.027,1.087,0.152,3,RearEnd,False,Insured,True,Clear,0,1,False
CLM1000115,POL2000115,2024-07-18,2024-07-18,5368.16,Liability,25000,25000,0,5,72,A_VeryGood,4,37859.0,Pickup,Suburban,1.027,1.043,0.408,0,Sideswipe,False,Insured,True,Clear,1,1,False
CLM1000116,POL2000116,2024-12-09,2024-12-10,3051.76,Liability,50000,50000,1000,83,60,B_Good,8,30790.0,Luxury,Urban,1.206,1.189,0.216,1,RearEnd,False,ThirdParty,False,Clear,1,0,False
CLM1000117,POL2000117,2025-09-29,2025-10-20,1953.31,Collision,250000,25000,1000,32,26,B_Good,6,25650.0,Pickup,Urban,1.211,1.44,0.213,21,Parked,False,ThirdParty,False,Clear,1,2,False
CLM1000118,POL2000118,2024-07-28,2024-07-28,7975.24,PIP,50000,25000,1500,3,78,C_Average,18,15484.0,Sports,Suburban,0.994,0.771,0.336,0,Angle,False,Insured,True,Clear,1,0,False
CLM1000119,POL2000119,2024-12-19,2024-12-26,2252.3,Liability,25000,10000,1000,229,17,C_Average,9,20119.0,Sports,Urban,1.115,1.175,0.431,7,Angle,False,ThirdParty,True,Clear,0,0,False
CLM1000120,POL2000120,2024-08-31,2024-09-01,3627.01,Liability,100000,25000,500,82,77,B_Good,6,10937.0,Sedan,Urban,1.272,1.139,0.164,1,Sideswipe,False,Shared,True,Clear,0,0,True
CLM1000121,POL2000121,2024-12-30,2025-01-05,3290.32,Collision,100000,25000,500,13,32,C_Average,11,15530.0,Pickup,Urban,1.12,1.06,0.319,6,Angle,False,Insured,False,Clear,1,0,False
